PlayerValue,DealerValue,Q(HIT),Q(STAND)
18,10,-0.8733977831663221,-0.4439025740465866
18,11,-0.8542797865468297,-0.40163718498199985
21,4,-0.28378690338165513,0.8951527280648512
21,3,-0.4161331201430883,0.8519296422225605
21,2,-0.15716714144617205,0.8637024205846594
21,9,-0.4232910310162641,0.999848152078482
21,8,-0.3818550282237103,0.9858935179630977
21,7,-0.3912485112362757,0.852790631305538
21,6,0.011014707101491064,0.8607514980632772
21,5,-0.1324710257645813,0.875495063056208
13,11,-0.6721244171666761,-0.9587338105818057
13,10,-0.440072042409881,-0.810839895345709
17,9,-0.24908102635482404,-0.9321880458955002
17,8,-0.8054604823981011,-0.1488517448153287
17,7,-0.7460368619423565,-0.025054165202452766
17,6,-0.7372569087532889,-0.014385489150721797
13,9,-0.4679094592884591,-0.8501689992219936
17,5,-0.5688493141672621,-0.18228169361101837
13,8,-0.43601416541056504,-0.8260559858435675
17,4,-0.7157334546519607,-0.13560478959983474
17,3,-0.7161874295228038,-0.23354967890677697
13,7,-0.3747929625820472,-0.7360988212991214
13,6,-0.51081279209016,-0.7493358871539545
17,2,-0.8163319434382683,-0.32992291798556345
13,5,-0.508228253362944,-0.72604877242935
13,4,-0.16228664488218164,-0.7606020399901606
13,3,-0.4312266398352169,-0.8635396125132722
13,2,-0.04733446188654819,-0.84946001396893
12,11,-0.6069385235862872,-0.9016114073377169
12,10,-0.528115366347829,-0.8147723998301514
20,5,-0.7151541015092252,0.6466398919616025
20,4,-0.632131795563321,0.7972389917065514
20,3,-0.7382908360872643,0.3670530786146649
20,2,-0.8094538728830802,0.49374482414460175
20,9,-0.8405506169784993,0.7690256795800388
20,8,-0.9033677313473019,0.7560231678443654
20,7,-0.7266758638430126,0.8340069789969176
20,6,-0.6110466995610049,0.8352666512194249
15,11,-0.5782575264395154,-0.976171835788812
16,9,-0.464583326064516,-0.9031564807915115
16,8,-0.6175884194709604,-0.9460924424704801
16,7,-0.24248268360106107,-0.86846038904019
15,10,-0.4154078190114638,-0.9507500074158586
12,2,-0.11816066646207903,-0.7800788732965376
16,6,-0.8015922294815425,-0.2718648150080682
16,5,-0.728101408381748,-0.20668565747836906
12,9,-0.3165400589560099,-0.8773442862606622
12,8,-0.7052300687507835,-0.476170096124233
16,4,-0.607366731287816,-0.8643894008081876
21,11,-0.5648758926153635,0.5605965870730483
21,10,-0.5833751530715747,0.7763355444319067
12,7,0.04901236006037378,-0.7565202619301892
16,3,-0.8729174961956272,-0.4266680454359222
16,2,-0.24373380836851816,-0.7908437811403709
12,6,0.19862541339469625,-0.712697832749196
12,5,-0.26225993199726055,-0.6844267764369505
12,4,-0.11394302194742874,-0.7268533570747122
12,3,-0.2215549820993929,-0.7812087537011873
14,10,-0.7243364794736098,-0.9146637453494566
14,11,-0.5066873791866825,-0.9431504159743725
20,11,-0.8431044418382515,0.06541574633310206
20,10,-0.7376579617903725,0.1895607886893478
19,9,-0.6684954145254226,0.3324199432944347
19,8,-0.5909868492727139,0.7238986996420667
19,7,-0.6784408624204468,0.6405003440680744
19,6,-0.590527733512866,0.4764187606699668
15,9,-0.5059674670209213,-0.8622901793266691
19,5,-0.5044079616392292,0.111638647443677
15,8,-0.5680073540454301,-0.8359010182573611
19,4,-0.5727863798652663,0.7817054339749318
17,10,-0.8315308520395858,-0.9521056733699541
17,11,-0.5094301254633953,-0.9523162279387675
19,3,-0.8290578990317742,0.3020969425930621
15,7,-0.0908275814978642,-0.8852361485725541
15,6,-0.4208021278101477,-0.7813170731011229
19,2,-0.8385168685814278,0.3069945034019508
15,5,-0.6899538687751477,-0.22475435046072284
15,4,-0.8261425916467544,-0.34582855072409346
15,3,-0.4923427006567921,-0.7013007017681747
15,2,-0.21440760011661275,-0.765080688113571
16,11,-0.5385093087527764,-0.9646583736372354
16,10,-0.4278136363446077,-0.9032108154180654
18,9,-0.8673582361276685,-0.10082354520111986
18,8,-0.6824039023851832,-0.034277258652894785
18,7,-0.5550322789836453,0.5694327372637186
18,6,-0.531612974357632,0.43132958543785505
18,5,-0.5828008465294832,0.26936320313667644
14,9,-0.6420952290068699,-0.8397165484853888
19,11,-0.7964998186133906,0.20221368866317094
19,10,-0.8237648231349921,-0.04318311116993065
14,8,-0.16443451428887806,-0.7233431095585292
18,4,-0.6647815092121808,0.024352215914133793
18,3,-0.737333781165743,0.20449055929507032
14,7,-0.6349277945447396,-0.9273014586765733
18,2,-0.6522190130790507,0.10907902108075909
14,6,-0.8282415254574474,0.045768574644829696
14,5,-0.23361130019413479,-0.7935528611593486
14,4,-0.8022816833200945,-0.22661940906854455
14,3,-0.2582292072218325,-0.8394958291099264
14,2,-0.20435994945888808,-0.790421031151294
